nombre,Latitud,Longitud,coordenadas
UMF 4 ISLA MUJERES,21.2592,-86.7485,"21.2592,-86.7485"
UMF 5 PUCTE RÍO HONDO,18.2682,-88.6727,"18.2682,-88.6727"
UMF 49 SAN LUIS POTOSÍ,22.1243,-100.964,"22.1243,-100.964"
UMF 45 SAN LUIS POTOSÍ,22.147,-100.956,"22.147,-100.956"
UMF 5 SOLEDAD GRACIANO,22.1873,-100.9391,"22.1873,-100.9391"
UMF 10 MATEHUALA,23.6547,-100.6406,"23.6547,-100.6406"
UMF 8 CD. MAÍZ,22.3988,-99.6066,"22.3988,-99.6066"
UMF 13 EL TAMUIN,22.0012,-98.781,"22.0012,-98.781"
UMFH 12 TAMASOPO,21.9239,-99.3923,"21.9239,-99.3923"
UMF 31 CD. SANTOS,21.5938,-98.9649,"21.5938,-98.9649"
UMF 47 SAN LUIS POTOSÍ,22.1574,-100.966,"22.1574,-100.966"
UMF 24 EBANO,22.2165,-98.3681,"22.2165,-98.3681"
UMF 34 TAMPAMOLON,21.5594,-98.8146,"21.5594,-98.8146"
UMF 30 TANLAJAS,21.6654,-98.8861,"21.6654,-98.8861"
UMF 29 AQUISMON,21.6274,-99.022,"21.6274,-99.022"
UMF 19 S. MARÍA RÍO,21.7976,-100.7414,"21.7976,-100.7414"
UMF 40 VENADO,22.9254,-101.0963,"22.9254,-101.0963"
UMF 42 MOCTEZUMA,22.7518,-101.08,"22.7518,-101.08"
UMF 35 V. ALFREDO M.,21.4417,-98.8715,"21.4417,-98.8715"
UMF 21 V. ZARAGOZA,22.0365,-100.733,"22.0365,-100.733"
UMF 22 GUADALCAZAR,22.6195,-100.4,"22.6195,-100.4"
UMF 37 TAMAZUNCHALE,21.2611,-98.7863,"21.2611,-98.7863"
UMF 43 CEDRAL,23.8173,-100.728,"23.8173,-100.728"
UMF 46 VENEGAS,23.8829,-100.95,"23.8829,-100.95"
UMF 36 CULIACÁN,24.8207,-107.418,"24.8207,-107.418"
UMFH 6 AHOME,25.9198,-109.172,"25.9198,-109.172"
UMFH 31 EL ROSARIO,22.9943,-105.859,"22.9943,-105.859"
UMF 20 PERICOS,25.0802,-107.7,"25.0802,-107.7"
UMFH 13 SAN MIGUEL,25.9487,-109.047,"25.9487,-109.047"
UMF 5 TOPOLOBAMPO,25.6021,-109.055,"25.6021,-109.055"
UMF 27 SAN IGNACIO,23.9386,-106.43,"23.9386,-106.43"
UMFH 23 LA REFORMA,25.0795,-108.055,"25.0795,-108.055"
UMF 38 LA CONCORDIA,23.2908,-106.07,"23.2908,-106.07"
UMF 24 BACHOCO,24.7944,-107.801,"24.7944,-107.801"
UMFH 11 VILLA JUÁREZ,24.6605,-107.539,"24.6605,-107.539"
UMFH 22 EL DORADO,24.3247,-107.362,"24.3247,-107.362"
UMF 19 CABEZÓN,25.5663,-108.857,"25.5663,-108.857"
